"","Culm_diameter","Culm_length","Culm_number","Grain_length","Grain_width","Grain_weight","Heading_date","Ligule_length","Leaf_length","Leaf_width","Panicle_length","Seedling_height"
"IRIS_313.9771",4,86,10,7.1,3.3,1.6,89,12,43,0.9,22,15
"IRIS_313.10083",3.3,72,17,9,3.3,2.7,89,9,30,1,16,23
"IRIS_313.8314",5,115,14,9.1,3.2,3,106,24,71,2,37,52
"IRIS_313.8321",5,129,25,7.4,3.1,2.4,131,16,57,1.5,24,21
"IRIS_313.11596",3,63,12,6.2,2.8,1.4,86,15,43,1,14,29
"IRIS_313.9360",5,131,13,9.8,2.8,2.6,111,15,51,1.3,20,38
"IRIS_313.11597",3,71,15,7.5,3.1,2.5,82,19,63,1.3,20,44
"IRIS_313.9067",5,103,13,9.9,3.3,2.1,103,34,39,1.2,27,36
"IRIS_313.11822",5,155,15,9.1,3.1,2.6,111,21,60,1.3,25,47
"IRIS_313.11823",5,156,19,9.6,3,2,118,25,74,1.3,29,44
"IRIS_313.11166",4,106,17,8.2,3,2.3,67,15,56,1.1,21,41
"IRIS_313.10619",6,119,15,9.6,3.1,2.7,108,18,64,1.5,26,26
"IRIS_313.9054",9.1,142,12,7.2,2.8,1.7,151,22,57.6,1.4,27.4,44
"IRIS_313.11947",5,103,21,8.7,3,2.6,98,21,59,0.8,22,59
"IRIS_313.11563",4,133,20,8.6,3.3,2.8,126,16,70,1.2,22,45
"IRIS_313.9897",5,109,10,9.3,3.5,3.2,103,13,62,1.7,25,25
"IRIS_313.10827",4,118,13,8.7,2.9,2.2,77,6,49,1.7,24,48
"IRIS_313.11481",4,96,16,9.5,2.8,2.7,88,21,61,1.5,20,35
"IRIS_313.10448",6,120,20,8.2,3.2,2.1,94,32,83,2,26,22
"IRIS_313.9503",5.2,84,21,8.7,2.8,2.9,87,19,43.8,1.5,28.6,34
"IRIS_313.11491",4,102,22,8.5,2.8,2.3,100,23,47,1.1,24,39
"IRIS_313.11114",4,145,17,8.5,2.5,1.7,112,20,63,1.3,32,34
"IRIS_313.9348",4,122,30,9.6,2.8,2.3,102,20,63,1.2,22,55
"IRIS_313.11192",4,122,17,11,2.8,3.2,98,16,60,1.3,25,64
"IRIS_313.11515",5,116,13,11.2,3,3.1,102,16,53,1.3,25,28
"IRIS_313.11219",4,145,14,9.9,3.3,3.3,157,19,63,1.4,26,56
"IRIS_313.8356",5,109,7,8.3,3.8,3.8,88,16,57,1.9,29,45
"IRIS_313.11325",3,75,26,11,2.9,3.1,78,11,35,1,29,40
"IRIS_313.9491",4,61,10,9.4,2.4,1.8,88,6,53,1.4,24,44
"IRIS_313.8960",6,107,20,10.1,2.6,2.6,82,13,58,1.6,24,21
"IRIS_313.8431",5,99,10,8.4,4.3,1.9,102,18,67,1.3,27,41
"IRIS_313.10016",4,72,14,10,2.6,2.2,102,19,44,1.1,25,25
"IRIS_313.8339",4.3,48,9,9.5,2.5,2.6,86,5,36,1.2,20,26
"IRIS_313.10554",5,110,15,9.5,2.6,2.3,129,15,51,0.9,23,36
"IRIS_313.11482",5,113,31,8.8,3.3,3.1,103,25,52,1,21,30
"IRIS_313.10684",7.7,142,11,7.2,3,2.6,151,22,47.4,1.6,28.4,50
"IRIS_313.10979",5,124,15,8.2,3.1,3,75,17,49,1.3,22,27
"IRIS_313.11757",5,135,24,7.7,2.5,2,146,15,59,1.2,24,44
"IRIS_313.11064",4,132,23,7.8,3,2.1,62,12,40,1,24,42
"IRIS_313.11065",5,128,31,7.7,3.1,2.3,68,9,47,1,21,40
"IRIS_313.11063",4,126,28,7.9,2.9,2.3,68,9,53,0.9,23,39
"IRIS_313.10983",4,122,24,8.5,2.9,2.2,104,25,62,1.1,29,35
"IRIS_313.11483",4,81,8,8,3.9,3.1,77,17,33,1,18,28
"IRIS_313.11013",5,108,15,8.3,3.5,3,62,18,58,1.2,20,48
"IRIS_313.10041",5,137,18,9,3.6,2.9,108,28,75,1.2,24,53
"IRIS_313.9697",6.3,125,16,8.2,2.6,2.1,148,24,71,1.2,29,40
"IRIS_313.8903",6,97,10,8.8,2.6,2,112,15,50,1.2,27,22
"IRIS_313.11241",5,140,22,8.4,2.7,1.7,123,18,65,1.4,24,48
"IRIS_313.10340",7.2,147,11,8.4,2.6,2.5,122,18,58.8,2,21.4,49
"IRIS_313.11326",4,122,19,8.5,3,2.5,100,17,49,1.4,24,32
"IRIS_313.11200",6,119,24,7.9,2.9,2.1,118,20,44,1.7,26,39
"IRIS_313.10341",8.8,128,13,8.1,3,3.1,122,15,45.4,1.5,25.2,40
"IRIS_313.10161",4,79,14,9.8,2.4,2.4,106,13,46,1.1,25,18
"IRIS_313.11425",4,100,7,9.7,3.1,3,92,17,51,1.3,24,50
"IRIS_313.10935",5,140,12,9.8,2.6,2.5,115,25,64,1.4,30,21
"IRIS_313.11853",4.7,94,15,7.7,2.9,2.2,84,20,64,1.1,24,63
"IRIS_313.11913",6,143,18,9.3,2.9,2.5,107,14,60,1.6,25,42
"IRIS_313.11127",5,99,6,8.5,3.2,2.6,75,15,57,1.7,25,28
"IRIS_313.8948",5,146,16,8.7,2.9,2.5,124,25,64,1.4,29,58
"IRIS_313.11352",4,123,25,7.8,3.4,2.7,108,16,46,1.4,26,58
"IRIS_313.11834",5,99,12,10,3.1,2.8,140,24,78,1.9,28,41
"IRIS_313.10699",5,156,10,8.5,3.2,2.4,156,20,70,1.5,31,37
"IRIS_313.11044",4,129,11,8.2,3.7,2.9,110,19,65,1.7,23,28
"IRIS_313.10945",5,145,9,7,3.5,2.6,103,20,65,2.5,25,19
"IRIS_313.10258",4.5,74,15,10.2,2.6,2.5,73,10,36,0.6,25.4,46
"IRIS_313.11970",5,97,17,8.6,2.1,1.7,116,12,60,1.9,25,25
"IRIS_313.11673",4,107,11,7.4,2.6,1.9,98,7,52,1.6,22,43
"IRIS_313.10644",5,106,7,9,4,3.3,74,14,62,1.7,26,36
"IRIS_313.11917",5.7,110,17,6.3,3.4,2.1,83,15,49,1.6,23,40
"IRIS_313.10002",4,60,20,7.8,2.7,2.5,114,19,37,1.2,24,15
"IRIS_313.9818",5,100,12,11.8,2.9,2.9,111,18,48,1,32,64
"IRIS_313.11423",4,104,14,8.6,2.7,1.4,88,17,56,1.3,25,36
"IRIS_313.11431",4,87,14,9.7,2.9,2.4,94,12,40,1.1,25,32
"IRIS_313.11410",5,139,22,7.9,2.4,2.3,116,35,75,1,28,55
"IRIS_313.10547",6,128,25,8.7,3.5,2.9,141,18,61,1.8,29,34
"IRIS_313.10001",4,74,9,9.6,2.4,2.6,86,14,41,1.3,24,39
"IRIS_313.11890",4,77,15,7.6,3.6,2.6,80,21,47,1.1,19,37
"IRIS_313.11896",5,118,21,7.6,2.6,2.6,138,22,57,1.1,21,25
"IRIS_313.11380",5,112,8,6.9,3.1,2,102,15,61,1.5,29,40
"IRIS_313.11354",4,119,20,7.1,2.6,2.2,96,20,43,1.4,22,52
"IRIS_313.11379",6,103,16,8.2,2.9,2.3,129,14,59,1.6,28,60
"IRIS_313.11096",5,153,16,8.4,3.2,2.3,153,16,83,1.3,24,60
"IRIS_313.8923",5,81,17,9.8,2.4,2.5,76,11,47,1.3,24,37
"IRIS_313.8669",3.7,58,23,8.4,3.2,2.7,79,8,28,0.7,17,35
"IRIS_313.11437",4,92,24,10.1,2.6,2.5,104,15,57,1.1,29,39
"IRIS_313.10514",5,142,15,9.6,2.7,2.7,105,19,79,1.7,30,40
"IRIS_313.10325",4.2,63,15,10.8,2.6,2.3,88,18,42.2,1.1,21.4,30
"IRIS_313.11788",5,122,18,7.9,3.7,2.4,102,13,56,1.1,30,36
"IRIS_313.11464",7,99,15,9.6,3.1,3,96,23,73,1.4,29,56
"IRIS_313.8292",5,114,13,8.5,3.5,2.7,71,32,50,1.2,25,37
"IRIS_313.10441",5,106,25,9.3,3,3.4,105,25,50,1.3,24,24
"IRIS_313.10485",7,133,20,10,3.2,2.9,89,19,62,1.8,34,19
"IRIS_313.10148",4,77,15,8.7,2.9,2.4,74,17,40,1,20,46
"IRIS_313.10497",5,97,20,7.7,3,1.7,90,18,49,1.4,23,24
"IRIS_313.10260",4.5,90,28,9,2.4,2.1,100,17,48.2,1.4,23.4,36
"IRIS_313.11182",5,150,19,8.4,2.9,2.1,112,21,57,2,26,57
"IRIS_313.10997",4,146,13,9,2.9,2,110,21,68,1.7,26,30
"IRIS_313.11902",6,143,14,8,3.1,2.4,115,17,64,1.4,27,50
"IRIS_313.10923",5,97,9,9.8,3.6,3.2,106,12,46,1.3,29,41
"IRIS_313.11014",4,110,25,8.3,3.1,2.7,68,18,51,1.1,24,47
"IRIS_313.8854",6,135,20,7.8,3.1,2.9,117,16,53,1.4,26,43
"IRIS_313.10092",2,43,14,7.2,3.1,2.6,50,5,13,0.7,13,31
"IRIS_313.10046",5,82,33,8.5,2.6,2,107,17,42,1.1,24,33
"IRIS_313.11714",3,68,24,9.9,2.4,2.3,114,18,46,1.2,25,30
"IRIS_313.10450",5,79,30,7.6,3.1,2.2,81,18,61,1.5,23,25
"IRIS_313.11594",5,101,29,7.5,2.6,2.1,89,14,49,0.8,23,63
"IRIS_313.9368",5,129,15,8.3,3.2,2.6,68,24,73,1.6,24,15
"IRIS_313.9917",3.9,55,25,7.8,2.8,2,75,17,33,0.9,25.6,34
"IRIS_313.8433",3,49,20,7.7,3.1,2.4,84,11,34,1.6,17,32
"IRIS_313.10700",5,166,11,8.7,3,2.1,156,29,64,1.6,29,50
"IRIS_313.10652",5,123,15,9.6,2.9,2.6,87,18,67,1.8,25,42
"IRIS_313.11426",4,51,11,7.7,3.5,2.1,106,14,45,1,21,49
"IRIS_313.11513",4,81,13,8.2,3.3,2.7,104,12,40,1.1,23,21
"IRIS_313.9601",4,112,17,10.1,2.4,2.6,89,25,59,1.2,31,44
"IRIS_313.10093",2,48,11,6.6,3.1,2.3,58,12,29,0.7,16,35
"IRIS_313.11854",6,100,18,7.7,3.1,2.1,87,24,58,1.2,24,53
"IRIS_313.9204",4,78,20,8.6,3.2,2.3,71,10,38,1.1,19,23
"IRIS_313.9703",5,72,25,6.8,3.2,2.2,75,15,46,1,25,16
"IRIS_313.11692",5,104,17,7.2,3.2,2.5,96,17,62,1.2,21,39
"IRIS_313.11383",4,102,16,9.1,2.8,2.3,92,15,43,0.8,21,49
"IRIS_313.9324",5,91,30,8.3,2.8,2.4,82,19,54,1.3,26,23
"IRIS_313.11353",4,117,17,8.6,2.8,2.8,106,16,49,0.9,26,49
"IRIS_313.10932",4,68,23,8.4,3,2.6,65,14,39,1.4,22,22
"IRIS_313.10618",4,63,20,7.6,3.7,3,88,10,36,0.9,27,19
"IRIS_313.11693",5,122,20,6.9,2.7,2,100,17,61,1,25,41
"IRIS_313.11201",4,68,16,7.9,3.7,2.7,74,11,41,0.8,19,34
"IRIS_313.11694",5,112,18,7.1,2.7,2.1,102,22,65,1,23,39
"IRIS_313.9267",6,125,10,8.9,3,3.2,80,15,54,1.4,25,20
"IRIS_313.11220",5,136,12,8.3,2.8,2.1,114,21,54,1.4,28,48
"IRIS_313.11408",4,104,13,8,3,2,96,20,57,1,24,60
"IRIS_313.10071",5.3,68,21,8.4,3.2,2.5,84,8,29,1.2,21,49
"IRIS_313.9484",6,113,17,9.3,2.8,2.4,117,26,46,1.2,25,39
"IRIS_313.11625",5,151,17,8.2,2.1,1.7,94,24,60,1.1,29,45
"IRIS_313.9555",5,108,20,9.3,3.2,3,94,20,49,0.9,22,21
"IRIS_313.11875",4,68,26,7.3,3.3,2.3,78,11,35,0.9,18,27
"IRIS_313.10057",3.3,55,34,7.8,3.4,2.6,62,12,31,0.9,17,39
"IRIS_313.9233",5,84,15,7.4,3.6,2.6,75,14,48,1.1,23,21
"IRIS_313.9422",4,108,28,7.2,2.7,2,65,18,55,1,21,20
"IRIS_313.10570",4,56,15,7.5,3.5,2.6,93,13,39,1.1,18,14
"IRIS_313.9463",3,79,18,7.6,3.6,2.8,70,10,36,1.1,20,32
"IRIS_313.10449",5,99,25,8.2,3.4,2.8,70,14,56,1.5,25,25
"IRIS_313.9767",5,142,19,9.4,2.7,2.2,126,24,65,1.4,26,53
"IRIS_313.9410",4,60,15,7.6,3.4,2.5,103,12,40,0.9,19,21
"IRIS_313.9966",4,102,12,9.8,2.6,2.5,98,18,58,1.3,28,34
"IRIS_313.11311",5,143,14,8,3.4,2.5,106,16,66,2.2,36,25
"IRIS_313.11455",4,80,13,7.6,2.6,1,62,17,48,1.5,22,49
"IRIS_313.9939",4,73,18,9.1,2.6,2.1,88,12,42,1.1,22,36
"IRIS_313.11702",4,68,17,7.7,3.1,2.4,96,8,31,1.1,19,21
"IRIS_313.11355",4,63,12,8.4,2.7,1.7,86,20,44,1.1,21,34
"IRIS_313.8657",4,103,30,8.1,2.6,2.1,172,28,76,1.1,25,20
"IRIS_313.10526",6,136,30,7.9,3,2.1,151,25,75,1.7,29,18
"IRIS_313.10988",3,85,24,9.1,2.9,2.4,77,9,37,1.5,25,12
"IRIS_313.8265",3,55,20,8,3.1,2.1,62,9,31,0.7,18,32
"IRIS_313.11375",5,124,13,7.8,2.4,1.4,111,20,47,1.1,19,32
"IRIS_313.9190",5,143,16,8.8,2.2,1.6,106,21,51,1.4,21,38
"IRIS_313.10272",5.5,82,10,8.5,2.2,1.8,86,10,42.4,1.6,27.4,25
"IRIS_313.8658",4,61,11,9,2.4,2.2,92,9,52,1,24,28
"IRIS_313.11240",4,61,17,9,2.9,2.2,82,17,39,1.1,22,35
"IRIS_313.11356",4,130,25,8.8,2.3,1.7,96,22,44,1,30,52
"IRIS_313.11357",3,42,19,9,2.1,2.1,86,14,34,1.1,23,31
"IRIS_313.9023",4,62,17,9.2,2.9,2.5,95,15,37,1.1,21,24
"IRIS_313.9822",5,128,25,8,3.3,2.2,62,23,69,1.3,21,32
"IRIS_313.10348",6.3,71,23,8.1,2.8,2.8,91,17,49.2,1,22.8,34
"IRIS_313.10349",4.8,95,18,9.9,2.6,3.3,84,19,46.2,1.4,25.2,40
"IRIS_313.11153",4,61,18,7.1,3.4,3,72,14,34,1,21,35
"IRIS_313.10300",5.6,63,20,9.2,2.7,2.3,96,15,36.2,0.6,23.8,34
"IRIS_313.10352",4.8,64,21,9.1,2.5,2.9,84,18,41.2,1.5,23.8,31
"IRIS_313.11471",5,122,13,8.7,2.5,1.9,108,14,71,1.6,24,44
"IRIS_313.11664",4,93,14,9.8,2.7,2.7,92,15,46,1.2,23,37
"IRIS_313.11409",5,100,18,10.2,3,2.9,90,12,50,1.1,23,53
"IRIS_313.10263",6.4,76,20,9.7,2.2,2.3,97,11,48.4,1.6,22.6,32
"IRIS_313.11221",5,147,13,9.3,2.8,2.7,114,18,69,1.5,27,59
"IRIS_313.11103",5,106,8,9.8,3.6,3.2,85,11,48,1.8,24,44
"IRIS_313.11102",5,125,11,8.6,3.5,2.6,85,10,50,1.5,25,40
"IRIS_313.10534",4,92,20,8.1,3,2.3,70,18,56,0.9,22,25
"IRIS_313.11104",4,105,7,9.3,3.4,2.8,85,10,53,1.5,20,30
"IRIS_313.11105",5,106,9,9.2,3.4,2.6,85,15,60,1.7,22,30
"IRIS_313.11106",6,126,10,9.4,3.5,2.4,77,16,66,1.9,28,34
"IRIS_313.9606",5,110,25,8.1,2.6,1.9,131,26,77,1.3,25,20
"IRIS_313.9725",3,74,21,7.9,3.6,3.2,80,11,45,0.9,20,29
"IRIS_313.10177",5,129,24,7.6,3.1,2,99,25,61,1.2,28,48
"IRIS_313.11795",4,68,17,8.1,3.3,2.5,81,13,41,1.5,22,33
"IRIS_313.11855",5.3,94,26,7.1,3.2,2.3,84,13,41,1.3,20,56
"IRIS_313.11856",5,106,34,7.9,3.1,2.4,82,18,49,1.2,24,59
"IRIS_313.11857",6,149,16,7.6,3.3,2.4,83,15,54,1.2,23,61
"IRIS_313.11858",5.7,95,16,7.9,2.9,2.2,88,12,49,1.1,19,68
"IRIS_313.8514",5,72,26,8.9,3,2.4,115,15,45,1.2,24,28
"IRIS_313.10059",3,52,34,7.5,3.3,2.7,73,6,24,0.8,17,40
"IRIS_313.11358",4,123,16,7.8,2.2,1.8,100,13,52,1.3,24,50
"IRIS_313.9529",3,83,13,8,3.1,2.4,82,9,36,1,20,40
"IRIS_313.8486",3,71,8,8.4,3.1,2.6,74,12,42,1.1,20,45
"IRIS_313.11359",5,132,16,9.8,2.9,2.6,106,27,75,1.4,22,59
"IRIS_313.8643",7.1,174,13,7.6,2.8,2.2,104,13,61.4,1.5,27.6,36
"IRIS_313.8580",5,106,13,7.7,2.9,2.1,106,20,63,1.2,24,41
"IRIS_313.10899",5,147,17,10,2.4,1.8,132,19,57,1.1,29,29
"IRIS_313.10900",5,145,13,8.6,3.1,2.3,139,20,63,1.3,25,29
"IRIS_313.10901",5,134,15,8.7,3.1,2.5,139,23,60,1.3,26,28
"IRIS_313.10756",4,86,24,7.6,2.9,2.1,73,20,39,1.1,21,20
"IRIS_313.8481",5,81,11,7.4,3.5,2.4,107,13,37,1.1,23,33
"IRIS_313.9101",5,143,16,9.9,3.3,3.3,96,6,56,1.5,26,44
"IRIS_313.11720",6.3,166,24,9.5,3,3.3,126,18,63,1.5,30,38
"IRIS_313.11705",7,150,25,9.2,2.9,2.9,137,19,73,1.9,24,39
"IRIS_313.11719",5,112,13,10.3,3.6,3.4,114,10,42,1.1,21,36
"IRIS_313.11928",4.7,76,15,7.6,2.7,1.9,125,11,39,1.5,21,28
"IRIS_313.10587",6,113,15,8.4,3.8,3.5,93,21,33,1.5,30,25
"IRIS_313.10598",6,115,15,7.5,3.5,3,90,22,53,1.2,24,35
"IRIS_313.11689",3,62,14,7.1,3.2,2.6,72,14,34,0.9,16,22
"IRIS_313.11177",4,132,14,8.7,2.7,2,111,14,63,1.4,29,46
"IRIS_313.8876",6,120,20,9,3.3,3.1,78,19,54,1.8,26,18
"IRIS_313.10190",5.3,87,16,7.8,2.9,2.5,88,16,42,1.1,21,65
"IRIS_313.9928",6.1,132,12,8.4,3.4,3,114,26,64.2,2.2,31.4,40
"IRIS_313.11671",4,144,14,9,2.9,2.4,112,20,55,1.2,25,50
"IRIS_313.10734",4,113,24,8,2.7,1.9,77,16,50,1.2,22,28
"IRIS_313.10677",4,72,22,7.4,3.3,2.3,67,11,44,1.2,24,26
"IRIS_313.11125",5,110,12,7.6,3.1,2.3,102,18,50,1.1,25,50
"IRIS_313.8530",5,125,20,8.1,3.4,2.1,121,36,72,1.6,26,27
"IRIS_313.11824",5,121,15,8.9,3.5,2.5,114,21,60,1.4,22,40
"IRIS_313.9156",4,129,18,9.2,2.5,2.1,109,17,60,1.1,24,49
"IRIS_313.11525",9,128,20,10.4,2.8,2.7,101,21,59,1.1,24,34
"IRIS_313.11196",5,113,16,8.6,3.1,2.7,120,31,56,1.5,24,39
"IRIS_313.11918",6.3,136,15,8.2,3.3,2.7,84,15,64,1.8,24,35
"IRIS_313.11334",7.1,142,20,8.6,2.6,2.2,136,21,62.8,1.4,29.6,40
"IRIS_313.11465",4,118,11,8.4,3.1,2.8,100,12,53,1.3,24,56
"IRIS_313.11723",6,161,15,10.8,2.6,3,130,23,63,1.3,24,52
"IRIS_313.10594",5,110,20,9.1,2.8,2.5,90,24,66,1.3,29,20
"IRIS_313.10593",5,123,20,8.4,3.2,1.6,90,22,57,1.1,26,30
"IRIS_313.10592",6,111,20,9.2,3.7,3.1,90,27,59,1.5,28,27
"IRIS_313.10766",6,145,8,7.8,3.5,2.7,115,20,56,2.2,29.4,34
"IRIS_313.10767",5,137,12,8,3.2,2.8,127,20,61,1.8,27,57
"IRIS_313.10595",6,119,15,9,3.5,2.8,90,20,72,1.6,29,31
"IRIS_313.10602",5,93,20,8,3.4,2.4,91,16,50,1.1,25,30
"IRIS_313.9131",6.7,132,20,9.3,2.9,2.5,166,19,58,1.4,24,60
"IRIS_313.10543",4,102,30,8.4,2.7,2.2,70,14,56,1.1,24,28
"IRIS_313.8747",4,111,18,10,2.9,3,96,19,60,1,27,50
"IRIS_313.10544",5,111,30,7.8,3.2,2.4,70,18,50,1.1,24,24
"IRIS_313.11796",5,106,22,8.3,3.2,2.3,83,15,38,1.1,20,42
"IRIS_313.11908",6,112,20,8,3.6,3,90,22,51,1.7,19,43
"IRIS_313.11167",4,127,25,8.5,2.7,2.3,80,12,45,1.3,25,46
"IRIS_313.9533",4,141,20,9.5,2.8,2.7,116,30,78,1.2,32,24
"IRIS_313.10972",5,137,19,8.2,2.8,2.2,98,21,71,1.6,25,31
"IRIS_313.8796",7,111,15,9,2.9,2.3,86,22,52,1.5,25,41
"IRIS_313.10980",5,121,20,8.5,3,2.9,81,21,53,1.1,21,32
"IRIS_313.10984",4,143,29,8.6,3.4,3,90,28,63,1.6,28,29
"IRIS_313.9397",5,136,16,9.1,2.9,2.5,128,18,63,1.4,29,61
"IRIS_313.11222",4,96,19,9.5,2.8,1.7,110,21,76,1,25,53
"IRIS_313.8631",4,111,15,8,3.5,3.3,84,12,47,0.9,23,52
"IRIS_313.11851",7,151,10,9.5,4.1,3.8,114,13,63,2.4,34,36
"IRIS_313.10606",6,99,20,8.8,3.1,1.9,91,18,51,1.6,24,21
"IRIS_313.10604",6,107,20,9.1,3.4,3.1,91,20,54,1.2,28,28
"IRIS_313.10605",6,98,20,8.1,3.2,2.5,91,21,60,1.2,26,25
"IRIS_313.9482",4,74,20,8.9,2.2,2,83,12,32,1,22,28
"IRIS_313.8914",4,60,19,7.9,2.8,2,67,13,32,1.1,19,31
"IRIS_313.11746",4,68,14,8.7,2.8,2.4,65,15,34,1.4,23,26
"IRIS_313.11151",5,129,13,8.7,3,2.6,98,21,75,1.6,29,34
"IRIS_313.11747",4,60,19,8.9,2.9,2.6,72,19,33,1.1,19,31
"IRIS_313.8980",5,138,23,10.3,2.9,3.1,123,23,72,1.6,28,24
"IRIS_313.9600",5,170,18,10,3,3.1,136,27,74,2.1,26,30
"IRIS_313.11676",6.3,141,25,8.9,3.2,2.8,129,28,70,1.7,25,34
"IRIS_313.11677",4,93,11,9.3,2.8,2.4,98,12,51,1.2,23,43
"IRIS_313.11835",5,121,12,9.9,3.2,2.7,107,24,68,1.3,30,50
"IRIS_313.11678",5,122,14,9.8,3.6,3.5,113,15,46,1.3,22,40
"IRIS_313.8884",5,107,11,9.9,3.1,2.7,112,20,62,1.5,30,42
"IRIS_313.11798",4,82,18,9.1,3,2.6,81,10,25,1.1,21,30
"IRIS_313.11799",4,62,19,9,3.1,2.4,80,16,36,1.3,22,25
"IRIS_313.11797",3,42,35,10,2.5,2.6,62,11,28,1.3,19,32
"IRIS_313.8859",4,62,15,8.5,3.3,2.6,65,15,39,1.1,19,32
"IRIS_313.11082",5,178,9,10.4,3.5,1.9,119,21,65,1.5,24,47
"IRIS_313.10655",5,155,17,10.1,3.5,3.1,74,24,69,1.7,27,42
"IRIS_313.11083",5,114,10,8.4,3.5,2.8,119,21,61,1.7,23,33
"IRIS_313.9193",4,94,18,9.1,3.3,3.6,65,15,54,1.1,17,22
"IRIS_313.10293",5.8,70,18,9.9,2.6,2.7,88,18,36,1.7,28.8,29
"IRIS_313.10833",4,121,17,7.7,3.2,2.4,70,16,62,1.2,22,58
"IRIS_313.9774",4,60,15,7.5,3.5,2.5,80,11,43,1.1,20,15
"IRIS_313.11484",4.6,126,37,8.6,2.8,2.4,83,28,64.4,2.3,24.6,47
"IRIS_313.10290",4.4,82,15,8.8,2.5,2.3,89,21,45.4,1.3,25.4,28
"IRIS_313.11045",5,129,8,8.3,3.6,2.7,110,19,63,1.8,28,27
"IRIS_313.10725",5,145,17,8.7,3.4,3.1,98,23,71,1.5,26,37
"IRIS_313.8571",5,129,16,10.8,3.2,3.3,115,20,80,1.7,28,43
"IRIS_313.11912",6,134,13,8.4,3,2.3,120,22,62,1.6,28,49
"IRIS_313.10061",5,91,13,12.7,3,3.1,79,11,53,1.1,24,50
"IRIS_313.10047",5,62,16,8.1,3.2,2.2,95,16,39,1.1,20,50
"IRIS_313.11800",4,50,17,8,3.7,3.1,68,7,27,0.9,15,39
"IRIS_313.11801",4,61,23,9,2.8,2.6,83,14,31,1,23,36
"IRIS_313.8412",5,54,18,7.1,3.3,2.9,88,20,41,1.2,19,16
"IRIS_313.11651",3,51,11,7.5,3.2,2.6,54,8,33,1,15,28
"IRIS_313.11551",6.9,138,9,8.2,2.6,2.2,154,23,54.4,1.3,33,44
"IRIS_313.10559",4,65,15,7.6,3.3,2.4,88,13,41,0.9,20,22
"IRIS_313.11758",6.3,128,17,8,2.6,2.4,129,12,64.6,1.3,25.2,43
"IRIS_313.10268",5.9,83,22,10.1,2.5,2.8,98,17,43.4,1.5,27.8,25
"IRIS_313.11434",5,105,11,9.8,3.4,3.1,98,8,53,1.6,29,36
"IRIS_313.10444",5,126,12,10.4,2.4,2.7,98,8,55,1.9,29,30
"IRIS_313.9980",4,90,14,10.4,3.5,3.5,80,14,44,1.2,20,26
"IRIS_313.11526",5,102,11,8.8,3.2,2.5,104,12,54,1.9,26,24
"IRIS_313.8387",4,83,19,6.9,3.5,2.2,80,16,39,1.2,17,46
"IRIS_313.8940",3,53,16,7.9,2.9,1.8,82,13,35,1.2,20,40
"IRIS_313.9259",5,132,15,8.1,3.2,2.6,106,17,43,1.4,18,47
"IRIS_313.9197",5,171,29,8.1,3.2,2.4,128,31,65,1.4,16,29
"IRIS_313.10768",6.7,134,17,8.8,2.8,2.3,141,20,52,1.4,26,29
"IRIS_313.11721",8.8,163,11,8.7,3.4,3.2,127,18,67.6,1.6,30.4,50
"IRIS_313.10769",5,95,14,9.4,2.8,2.6,111,14,36,1.4,32,43
"IRIS_313.9256",5,144,14,9.3,3.7,2.9,91,19,62,1.5,27,50
"IRIS_313.9302",4,103,30,9.9,3.2,3.4,151,33,59,1.4,28,22
"IRIS_313.11635",5,125,16,9,3.4,1.5,125,21,80,1.2,30,60
"IRIS_313.10536",5,125,25,9.3,2.7,2.3,131,29,90,1.2,28,20
"IRIS_313.11321",5,133,14,7.8,2.6,1.8,117,16,49,1.4,28,53
"IRIS_313.7883",5,108,16,8.5,3.6,3,103,14,50,1.4,24,26
"IRIS_313.10178",5,118,22,8.5,2.6,2.2,75,18,51,1,21,44
"IRIS_313.11748",5,107,23,8.7,3,2.4,80,25,59,1.1,22,54
"IRIS_313.11573",3,129,35,8.2,3.2,2.4,86,17,52,1,22,40
"IRIS_313.10007",5,143,23,9,3.3,2.7,108,22,62,1.9,23,44
"IRIS_313.11066",4,124,18,7.3,3.4,2.5,62,9,44,1.1,22,38
"IRIS_313.10094",3,65,12,8.5,3.3,3,87,11,35,1.5,17,35
"IRIS_313.11121",5,94,12,7.9,3.5,2.3,81,17,57,1.4,22,43
"IRIS_313.9817",7,127,14,12,2.9,3.4,103,19,49.6,1.2,32.1,42
"IRIS_313.11427",5,104,10,10.1,3.2,2.4,90,15,63,1.5,22,45
"IRIS_313.8383",5,120,18,8.7,3.1,2.6,96,20,59,1.2,25,52
"IRIS_313.11570",5,64,21,8.9,3,2.7,78,18,37,1.6,21,37
"IRIS_313.9778",6,125,25,8,3.2,2.8,89,21,56,1.3,25,21
"IRIS_313.8256",4,73,16,9.2,3.3,3,72,6,30,0.9,24,40
"IRIS_313.10737",5,115,11,8.2,3.1,2.4,77,18,56,1.7,27,35
"IRIS_313.11929",6,109,18,9,2.5,2.1,103,12,45,1.4,25,30
"IRIS_313.10991",4,112,10,7.9,3.6,2.4,69,11,56,1.7,24,32
"IRIS_313.10430",4,73,20,7.3,3.4,2.5,71,14,45,1.1,19,16
"IRIS_313.11388",5,148,15,10,3.4,2.7,116,24,67,1.7,22,53
"IRIS_313.11938",6.5,153,13,7.9,3,1.8,121,21,68,1.8,27.8,32
